action,new_state,reward,state
97.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1]",-7.11456143767261,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1]"
95.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.976465875745484,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1]"
52.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.8735844725457405,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
57.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  38  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-7.101492418688519,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  40  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
11.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  38  40  40  40  40  40
  40  40  40  40  40  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-6.784556318169557,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  38  40  40  40  40  40
  40  40  40  40  40  40   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
57.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  36  40  40  40  40  40
  40  40  40  40  40  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-7.190004669993071,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  38  40  40  40  40  40
  40  40  40  40  40  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
117.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-6.773335489743089,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  36  40  40  40  40  40
  40  40  40  40  40  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
45.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]",-7.139129241697429,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  40  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
53.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.124295465423045,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   1   1   1   1
   1   1   1   0   1   1   1   1   1]"
96.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.152122225300466,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 160 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
118.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.845222121526408,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
35.0,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.085652879863707,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   1   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
42.0,"[ 60 180 320  60 180 320  60 200 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.156380239217226,"[ 60 180 320  60 180 320  60 180 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
54.0,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.904384590431051,"[ 60 180 320  60 180 320  60 200 320  60 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
120.0,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.99901183737597,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
92.0,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.01161295193477,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  40  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
106.0,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.548773307669498,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
19.0,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.583800910699708,"[ 60 180 320  60 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
102.0,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 340
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.954945119191604,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
38.0,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 340
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.1594573278648355,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 340
  60 180 340  40  40  40  40  40  40  40  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
